Task code,Task name,Family,Verifier type,Verifier ID,Output ID,Deliverable,Output file,Pass condition,Evidence,Answer (Yes/No)
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r007/A001,pdp-r007,Skincare product-page image - Gentle Amino Cleanser,deliverables/pdp-r007.png,“Skincare product-page image - Gentle Amino Cleanser” (pdp-r007.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r007/A002,pdp-r007,Skincare product-page image - Gentle Amino Cleanser,deliverables/pdp-r007.png,“Skincare product-page image - Gentle Amino Cleanser” (pdp-r007.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r007/A003,pdp-r007,Skincare product-page image - Gentle Amino Cleanser,deliverables/pdp-r007.png,“Skincare product-page image - Gentle Amino Cleanser” (pdp-r007.png) is exactly 1440 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r007/A004,pdp-r007,Skincare product-page image - Gentle Amino Cleanser,deliverables/pdp-r007.png,“Skincare product-page image - Gentle Amino Cleanser” (pdp-r007.png) is exactly 1800 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r008/A001,pdp-r008,Skincare product-page image - Refine Exfoliating Toner,deliverables/pdp-r008.png,“Skincare product-page image - Refine Exfoliating Toner” (pdp-r008.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r008/A002,pdp-r008,Skincare product-page image - Refine Exfoliating Toner,deliverables/pdp-r008.png,“Skincare product-page image - Refine Exfoliating Toner” (pdp-r008.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r008/A003,pdp-r008,Skincare product-page image - Refine Exfoliating Toner,deliverables/pdp-r008.png,“Skincare product-page image - Refine Exfoliating Toner” (pdp-r008.png) is exactly 1440 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r008/A004,pdp-r008,Skincare product-page image - Refine Exfoliating Toner,deliverables/pdp-r008.png,“Skincare product-page image - Refine Exfoliating Toner” (pdp-r008.png) is exactly 1800 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r009/A001,pdp-r009,Skincare product-page image - Barrier Repair Cream,deliverables/pdp-r009.png,“Skincare product-page image - Barrier Repair Cream” (pdp-r009.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r009/A002,pdp-r009,Skincare product-page image - Barrier Repair Cream,deliverables/pdp-r009.png,“Skincare product-page image - Barrier Repair Cream” (pdp-r009.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r009/A003,pdp-r009,Skincare product-page image - Barrier Repair Cream,deliverables/pdp-r009.png,“Skincare product-page image - Barrier Repair Cream” (pdp-r009.png) is exactly 1440 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-r009/A004,pdp-r009,Skincare product-page image - Barrier Repair Cream,deliverables/pdp-r009.png,“Skincare product-page image - Barrier Repair Cream” (pdp-r009.png) is exactly 1800 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-source/A001,pdp-source,Aurelian Skin / Skincare product-page image - editable source,sources/pdp.zip,“Aurelian Skin / Skincare product-page image - editable source” (pdp.zip) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-source/A002,pdp-source,Aurelian Skin / Skincare product-page image - editable source,sources/pdp.zip,“Aurelian Skin / Skincare product-page image - editable source” (pdp.zip) opens as a valid ZIP archive with no errors.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/pdp-source/A003,pdp-source,Aurelian Skin / Skincare product-page image - editable source,sources/pdp.zip,“Aurelian Skin / Skincare product-page image - editable source” (pdp.zip) includes a working editable design file (or an Adobe document link) — not just a flat export.,Automatic check — editable source located inside the package.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch/A001,range-launch,Aurelian Skin / Skincare range launch campaign image,deliverables/range-launch.png,“Aurelian Skin / Skincare range launch campaign image” (range-launch.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch/A002,range-launch,Aurelian Skin / Skincare range launch campaign image,deliverables/range-launch.png,“Aurelian Skin / Skincare range launch campaign image” (range-launch.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch/A003,range-launch,Aurelian Skin / Skincare range launch campaign image,deliverables/range-launch.png,“Aurelian Skin / Skincare range launch campaign image” (range-launch.png) is exactly 1920 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch/A004,range-launch,Aurelian Skin / Skincare range launch campaign image,deliverables/range-launch.png,“Aurelian Skin / Skincare range launch campaign image” (range-launch.png) is exactly 1080 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch-source/A001,range-launch-source,Aurelian Skin / Skincare range launch campaign image - editable source,sources/range-launch.zip,“Aurelian Skin / Skincare range launch campaign image - editable source” (range-launch.zip) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch-source/A002,range-launch-source,Aurelian Skin / Skincare range launch campaign image - editable source,sources/range-launch.zip,“Aurelian Skin / Skincare range launch campaign image - editable source” (range-launch.zip) opens as a valid ZIP archive with no errors.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/range-launch-source/A003,range-launch-source,Aurelian Skin / Skincare range launch campaign image - editable source,sources/range-launch.zip,“Aurelian Skin / Skincare range launch campaign image - editable source” (range-launch.zip) includes a working editable design file (or an Adobe document link) — not just a flat export.,Automatic check — editable source located inside the package.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p01/A001,retailer-carousel-p01,Aurelian Skin / Retailer launch carousel - Page 1,deliverables/retailer-carousel-p01.png,“Aurelian Skin / Retailer launch carousel - Page 1” (retailer-carousel-p01.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p01/A002,retailer-carousel-p01,Aurelian Skin / Retailer launch carousel - Page 1,deliverables/retailer-carousel-p01.png,“Aurelian Skin / Retailer launch carousel - Page 1” (retailer-carousel-p01.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p01/A003,retailer-carousel-p01,Aurelian Skin / Retailer launch carousel - Page 1,deliverables/retailer-carousel-p01.png,“Aurelian Skin / Retailer launch carousel - Page 1” (retailer-carousel-p01.png) is exactly 1080 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p01/A004,retailer-carousel-p01,Aurelian Skin / Retailer launch carousel - Page 1,deliverables/retailer-carousel-p01.png,“Aurelian Skin / Retailer launch carousel - Page 1” (retailer-carousel-p01.png) is exactly 1350 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p02/A001,retailer-carousel-p02,Aurelian Skin / Retailer launch carousel - Page 2,deliverables/retailer-carousel-p02.png,“Aurelian Skin / Retailer launch carousel - Page 2” (retailer-carousel-p02.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p02/A002,retailer-carousel-p02,Aurelian Skin / Retailer launch carousel - Page 2,deliverables/retailer-carousel-p02.png,“Aurelian Skin / Retailer launch carousel - Page 2” (retailer-carousel-p02.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p02/A003,retailer-carousel-p02,Aurelian Skin / Retailer launch carousel - Page 2,deliverables/retailer-carousel-p02.png,“Aurelian Skin / Retailer launch carousel - Page 2” (retailer-carousel-p02.png) is exactly 1080 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p02/A004,retailer-carousel-p02,Aurelian Skin / Retailer launch carousel - Page 2,deliverables/retailer-carousel-p02.png,“Aurelian Skin / Retailer launch carousel - Page 2” (retailer-carousel-p02.png) is exactly 1350 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p03/A001,retailer-carousel-p03,Aurelian Skin / Retailer launch carousel - Page 3,deliverables/retailer-carousel-p03.png,“Aurelian Skin / Retailer launch carousel - Page 3” (retailer-carousel-p03.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p03/A002,retailer-carousel-p03,Aurelian Skin / Retailer launch carousel - Page 3,deliverables/retailer-carousel-p03.png,“Aurelian Skin / Retailer launch carousel - Page 3” (retailer-carousel-p03.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p03/A003,retailer-carousel-p03,Aurelian Skin / Retailer launch carousel - Page 3,deliverables/retailer-carousel-p03.png,“Aurelian Skin / Retailer launch carousel - Page 3” (retailer-carousel-p03.png) is exactly 1080 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p03/A004,retailer-carousel-p03,Aurelian Skin / Retailer launch carousel - Page 3,deliverables/retailer-carousel-p03.png,“Aurelian Skin / Retailer launch carousel - Page 3” (retailer-carousel-p03.png) is exactly 1350 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p04/A001,retailer-carousel-p04,Aurelian Skin / Retailer launch carousel - Page 4,deliverables/retailer-carousel-p04.png,“Aurelian Skin / Retailer launch carousel - Page 4” (retailer-carousel-p04.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p04/A002,retailer-carousel-p04,Aurelian Skin / Retailer launch carousel - Page 4,deliverables/retailer-carousel-p04.png,“Aurelian Skin / Retailer launch carousel - Page 4” (retailer-carousel-p04.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p04/A003,retailer-carousel-p04,Aurelian Skin / Retailer launch carousel - Page 4,deliverables/retailer-carousel-p04.png,“Aurelian Skin / Retailer launch carousel - Page 4” (retailer-carousel-p04.png) is exactly 1080 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p04/A004,retailer-carousel-p04,Aurelian Skin / Retailer launch carousel - Page 4,deliverables/retailer-carousel-p04.png,“Aurelian Skin / Retailer launch carousel - Page 4” (retailer-carousel-p04.png) is exactly 1350 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p05/A001,retailer-carousel-p05,Aurelian Skin / Retailer launch carousel - Page 5,deliverables/retailer-carousel-p05.png,“Aurelian Skin / Retailer launch carousel - Page 5” (retailer-carousel-p05.png) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p05/A002,retailer-carousel-p05,Aurelian Skin / Retailer launch carousel - Page 5,deliverables/retailer-carousel-p05.png,“Aurelian Skin / Retailer launch carousel - Page 5” (retailer-carousel-p05.png) opens as a valid PNG file with no errors or corruption.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p05/A003,retailer-carousel-p05,Aurelian Skin / Retailer launch carousel - Page 5,deliverables/retailer-carousel-p05.png,“Aurelian Skin / Retailer launch carousel - Page 5” (retailer-carousel-p05.png) is exactly 1080 pixels wide.,Automatic check — measured image width.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-p05/A004,retailer-carousel-p05,Aurelian Skin / Retailer launch carousel - Page 5,deliverables/retailer-carousel-p05.png,“Aurelian Skin / Retailer launch carousel - Page 5” (retailer-carousel-p05.png) is exactly 1350 pixels tall.,Automatic check — measured image height.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-source/A001,retailer-carousel-source,Aurelian Skin / Retailer launch carousel - editable source,sources/retailer-carousel.zip,“Aurelian Skin / Retailer launch carousel - editable source” (retailer-carousel.zip) is present in the delivery package.,Automatic check — file is present.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-source/A002,retailer-carousel-source,Aurelian Skin / Retailer launch carousel - editable source,sources/retailer-carousel.zip,“Aurelian Skin / Retailer launch carousel - editable source” (retailer-carousel.zip) opens as a valid ZIP archive with no errors.,Automatic check — file opens correctly.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Auto,PHOTO-01/retailer-carousel-source/A003,retailer-carousel-source,Aurelian Skin / Retailer launch carousel - editable source,sources/retailer-carousel.zip,“Aurelian Skin / Retailer launch carousel - editable source” (retailer-carousel.zip) includes a working editable design file (or an Adobe document link) — not just a flat export.,Automatic check — editable source located inside the package.,
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r002/H001,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,The photo in “Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) shows “Clarity Vitamin C Serum” — the product from aurelian_launch_shoot_01.jpg.,"Source table aurelian_speccards.csv, row 2",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r002/H002,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,"At full export size, the bottle label text in “Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) is fully visible — no letters cut off at the edge.","Source table aurelian_speccards.csv, row 2",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r002/H003,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,"The product name on “Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) reads exactly “Clarity Vitamin C Serum” — as approved in aurelian_speccards.csv, row 2.","Canonical approved value in aurelian_speccards.csv, row 2, field Product Name; approved product name: Clarity Vitamin C Serum",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r002/H004,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,"The claim on “Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) reads exactly “Supports visible brightness and even tone.” — as approved in aurelian_speccards.csv, row 2.","Canonical approved value in aurelian_speccards.csv, row 2, field Claim; approved claim: Supports visible brightness and even tone.",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r002/H005,pdp-r002,Skincare product-page image - Clarity Vitamin C Serum,deliverables/pdp-r002.png,"The price on “Skincare product-page image - Clarity Vitamin C Serum” (pdp-r002.png) reads exactly “$48” — as approved in aurelian_speccards.csv, row 2.","Canonical approved value in aurelian_speccards.csv, row 2, field Price; approved price: $48",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r003/H001,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,The photo in “Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) shows “Even Niacinamide Serum” — the product from aurelian_launch_shoot_02.jpg.,"Source table aurelian_speccards.csv, row 3",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r003/H002,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,"At full export size, the bottle label text in “Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) is fully visible — no letters cut off at the edge.","Source table aurelian_speccards.csv, row 3",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r003/H003,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,"The product name on “Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) reads exactly “Even Niacinamide Serum” — as approved in aurelian_speccards.csv, row 3.","Canonical approved value in aurelian_speccards.csv, row 3, field Product Name; approved product name: Even Niacinamide Serum",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r003/H004,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,"The claim on “Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) reads exactly “Helps visibly balance and refine the look of pores.” — as approved in aurelian_speccards.csv, row 3.","Canonical approved value in aurelian_speccards.csv, row 3, field Claim; approved claim: Helps visibly balance and refine the look of pores.",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r003/H005,pdp-r003,Skincare product-page image - Even Niacinamide Serum,deliverables/pdp-r003.png,"The price on “Skincare product-page image - Even Niacinamide Serum” (pdp-r003.png) reads exactly “38.00” — as approved in aurelian_speccards.csv, row 3.","Canonical approved value in aurelian_speccards.csv, row 3, field Price; approved price: 38.00",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r004/H001,pdp-r004,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,The photo in “Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted)” (pdp-r004.png) shows “Reservoir Hyaluronic Serum (30ml frosted)” — the product from aurelian_launch_shoot_03.jpg.,"Source table aurelian_speccards.csv, row 4",
SB3-001-PHO,Aurelian Skin - Ecommerce skincare image system,Photo & Image,Human,PHOTO-01/pdp-r004/H002,pdp-r004,Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted),deliverables/pdp-r004.png,"At full export size, the bottle label text in “Skincare product-page image - Reservoir Hyaluronic Serum (30ml frosted)” (pdp-r004.png) is fully visible — no letters cut off at the edge.","Source table aurelian_speccards.csv, row 4",
